File Size (bytes),Chunk Size (bytes),Time Taken (seconds)
145816,1048576,0.015013456344604492
901439480,1048576,59.39363980293274
347164052,1048576,20.601049184799194
187670480,1048576,10.777064085006714
38827076,1048576,2.268566608428955
561820568,1048576,36.38589262962341
511343876,1048576,29.32498574256897
15009048324,1048576,907.6891665458679
15916192184,1048576,986.3298499584198
261548144,1048576,15.045324325561523
14219275160,1048576,861.3051946163177
145816,1048576,0.015013933181762695
901439480,1048576,62.281949520111084
347164052,1048576,21.42542552947998
187670480,1048576,11.415613174438477
38827076,1048576,2.2750673294067383
561820568,1048576,37.064586877822876
511343876,1048576,29.63742446899414
15009048324,1048576,895.218683719635
15916192184,1048576,965.3110704421997
261548144,1048576,14.598922729492188
14219275160,1048576,844.0330209732056
145816,1048576,0.015013456344604492
901439480,1048576,61.33730149269104
347164052,1048576,21.153834342956543
187670480,1048576,11.168815612792969
38827076,1048576,2.3351333141326904
561820568,1048576,37.58259391784668
511343876,1048576,30.254852771759033
261548144,1048576,15.354135513305664
15916192184,1048576,977.3064041137695
14219275160,1048576,845.3184790611267
15009048324,1048576,898.0000054836273
145816,1048576,0.016014575958251953
187670480,1048576,11.166354656219482
15916192184,1048576,1008.5460946559906
145816,1048576,0.015013694763183594
145816,1048576,0.015013456344604492
145816,1048576,0.015013694763183594
901439480,1048576,59.57121396064758
347164052,1048576,20.466898918151855
187670480,1048576,10.821524143218994
38827076,1048576,2.3146402835845947
561820568,1048576,36.580424547195435
511343876,1048576,29.24238872528076
261548144,1048576,14.817217350006104
15916192184,1048576,971.966338634491
14219275160,1048576,845.4439611434937
15009048324,1048576,909.7089233398438
14060457628,1048576,842.0781772136688
14658150988,1048576,822.7070438861847
2564561248,1048576,146.43936586380005
145816,1048576,0.017015457153320312
901439480,1048576,61.00185441970825
347164052,1048576,20.930368661880493
187670480,1048576,10.72887897491455
38827076,1048576,2.286607265472412
561820568,1048576,36.094343423843384
511343876,1048576,29.51578450202942
261548144,1048576,14.925301551818848
15916192184,1048576,1008.9792547225952
14658150988,1048576,824.5110461711884
2564561248,1048576,145.76671361923218
15916192184,1048576,962.1780502796173
14658150988,1048576,821.1890604496002
15916192184,1048576,962.9295651912689
14658150988,1048576,829.4349002838135
15916192184,1048576,964.3564686775208
14658150988,1048576,816.0954291820526
145816,1048576,0.019015073776245117
901439480,1048576,60.01048803329468
347164052,1048576,20.155899047851562
187670480,1048576,10.757535457611084
145816,1048576,0.021929502487182617
187670480,1048576,12.043738842010498
347164052,1048576,22.879813194274902
901439480,1048576,64.05775117874146
145816,1048576,0.18451738357543945
187670480,1048576,12.455384492874146
347164052,1048576,22.34142827987671
901439480,1048576,62.82853055000305
145816,1048576,0.8912696838378906
187670480,1048576,12.840486764907837
347164052,1048576,24.000598907470703
901439480,1048576,62.07791066169739
145816,1048576,0.6814625263214111
187670480,1048576,12.667718172073364
347164052,1048576,23.63964033126831
901439480,1048576,62.667176723480225
145816,1048576,0.8669235706329346
187670480,1048576,12.931268453598022
347164052,1048576,22.66697120666504
901439480,1048576,62.4891471862793
145816,1048576,0.5921297073364258
187670480,1048576,12.080245018005371
347164052,1048576,22.50067901611328
901439480,1048576,62.11105966567993
145816,1048576,0.8049583435058594
145816,1048576,0.024817466735839844
145816,1048576,0.021019458770751953
145816,1048576,0.026023387908935547
145816,1048576,0.02202010154724121
187670480,1048576,12.634321212768555
347164052,1048576,23.807973861694336
901439480,1048576,65.05898237228394
145816,1048576,0.022019624710083008
187670480,1048576,13.135953664779663
347164052,1048576,24.375272274017334
901439480,1048576,66.31744742393494
145816,1048576,0.030533552169799805
187670480,1048576,13.080782175064087
347164052,1048576,24.27935290336609
901439480,1048576,66.4283435344696
